id,separation_type,cease_date,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,maternity_family,ill_health,gender,age,length_of_service,dataset
169,Other,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,3-4,dete
171,Other,2012.0,Permanent Full-time,False,False,True,True,False,False,Female,46-50,3-4,dete
172,Retirement,2012.0,Permanent Full-time,False,False,False,True,False,False,Male,46-50,More than 20 years,dete
174,Other,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,7-10,dete
175,Retirement,2012.0,Permanent Full-time,False,True,False,False,False,False,Female,31-35,5-6,dete
176,Retirement,2012.0,Permanent Part-time,False,False,False,False,True,False,Female,26-30,7-10,dete
178,Retirement,2012.0,Permanent Full-time,False,False,False,True,False,False,Female,26-30,11-20,dete
179,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,41-45,11-20,dete
180,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,36-40,Less than 1 year,dete
181,Retirement,2012.0,Permanent Full-time,False,False,False,True,False,False,Female,26-30,1-2,dete
182,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,31-35,5-6,dete
183,Other,2012.0,Temporary Full-time,False,False,False,False,False,False,Female,51-55,1-2,dete
184,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
185,Other,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,41-45,5-6,dete
186,Resignation,2012.0,Permanent Part-time,False,False,False,False,True,False,Female,31-35,7-10,dete
187,Other,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
188,Retirement,2012.0,Permanent Full-time,False,True,False,False,False,False,Female,26-30,5-6,dete
189,Other,2012.0,Permanent Full-time,False,True,False,False,False,False,Female,26-30,5-6,dete
190,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,41-45,5-6,dete
191,Retirement,2012.0,Permanent Full-time,False,False,False,True,False,False,Female,56 or older,More than 20 years,dete
192,Other,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
193,Resignation,2012.0,Permanent Full-time,False,False,True,False,False,False,Female,46-50,11-20,dete
194,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,31-35,11-20,dete
195,Retirement,2013.0,Permanent Part-time,False,False,False,False,True,False,Female,56 or older,More than 20 years,dete
196,Resignation,2012.0,Permanent Full-time,True,False,False,False,False,False,Female,46-50,More than 20 years,dete
198,Resignation,2012.0,Permanent Full-time,False,False,False,True,False,False,Female,31-35,7-10,dete
199,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,True,Female,46-50,More than 20 years,dete
200,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,7-10,dete
201,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,11-20,dete
202,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
204,Other,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
205,Resignation,2012.0,Permanent Part-time,False,True,False,False,False,False,Female,21-25,3-4,dete
206,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,36-40,5-6,dete
207,Termination,2012.0,Permanent Full-time,False,False,False,True,False,False,Male,51-55,More than 20 years,dete
209,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
210,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,True,Female,46-50,11-20,dete
211,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,5-6,dete
212,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
213,Resignation,2012.0,Permanent Part-time,False,False,False,True,False,False,Male,56 or older,More than 20 years,dete
216,Termination,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,51-55,More than 20 years,dete
217,Retirement,2013.0,Permanent Full-time,False,False,False,True,False,False,Female,51-55,More than 20 years,dete
218,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,11-20,dete
219,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,True,Female,51-55,11-20,dete
220,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
221,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,True,Female,56 or older,5-6,dete
222,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
223,Contract Expired,2012.0,Temporary Full-time,False,False,False,False,False,False,Female,36-40,1-2,dete
225,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,36-40,3-4,dete
226,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
227,Contract Expired,2012.0,Temporary Full-time,False,False,False,False,False,False,Female,26-30,1-2,dete
228,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,46-50,11-20,dete
229,Resignation,2012.0,Permanent Part-time,False,False,False,False,True,False,Male,56 or older,11-20,dete
230,Retirement,2012.0,Temporary Part-time,False,False,False,False,True,False,Female,56 or older,3-4,dete
231,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
232,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
233,Other,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,36-40,More than 20 years,dete
234,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,46-50,More than 20 years,dete
235,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
236,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,21-25,3-4,dete
237,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
238,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,11-20,dete
239,Retirement,2012.0,Permanent Part-time,False,True,False,False,False,False,Male,51-55,More than 20 years,dete
240,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
241,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
242,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,True,Male,56 or older,11-20,dete
243,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,51-55,More than 20 years,dete
244,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
245,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
